,cond,mdp_code,participant,uncertain_prop,unknown_color_ent,dem_len,avg_revisit
117,do,xoo,S10,0.8,1.5,5.0,0.0
118,do,xoo,S11,0.6666666666666666,-0.0,9.0,0.0
119,do,xoo,S14,0.4444444444444444,-0.0,9.0,0.0
120,do,xoo,S15,0.4444444444444444,-0.0,9.0,0.0
121,do,xoo,S22,0.7272727272727273,0.5435644431995964,11.0,0.1
122,do,xoo,S27,0.6363636363636364,0.5916727785823275,11.0,0.0
123,do,xoo,S29,0.7272727272727273,0.5435644431995964,11.0,0.1
124,do,xoo,S3,0.4444444444444444,-0.0,9.0,0.0
125,do,xoo,S30,0.6666666666666666,-0.0,9.0,0.0
126,do,xoo,S32,0.4444444444444444,-0.0,9.0,0.0
127,do,xoo,S33,0.7272727272727273,0.5435644431995964,11.0,0.1
128,do,xoo,S34,0.4444444444444444,-0.0,9.0,0.0
129,do,xoo,S36,0.4444444444444444,-0.0,9.0,0.0
130,do,xoo,S37,0.4444444444444444,-0.0,9.0,0.0
131,do,xoo,S38,0.6666666666666666,-0.0,9.0,0.0
132,do,xoo,S40,0.4444444444444444,-0.0,9.0,0.0
133,do,xoo,S41,0.6666666666666666,-0.0,9.0,0.0
134,do,xoo,S42,0.4444444444444444,-0.0,9.0,0.0
135,do,xoo,S44,0.4444444444444444,-0.0,9.0,0.0
136,do,xoo,S47,0.4444444444444444,-0.0,9.0,0.0
137,do,xoo,S48,0.6666666666666666,-0.0,9.0,0.0
138,do,xoo,S5,0.6666666666666666,-0.0,9.0,0.0
139,do,xoo,S52,0.4444444444444444,-0.0,9.0,0.0
140,do,xoo,S54,0.4444444444444444,-0.0,9.0,0.0
141,do,xoo,S56,0.7272727272727273,0.5435644431995964,11.0,0.1
142,do,xoo,S57,0.4444444444444444,-0.0,9.0,0.0
143,do,xoo,S8,0.4444444444444444,-0.0,9.0,0.0
144,do,xoo,S9,0.4444444444444444,-0.0,9.0,0.0
145,do,xox,S1,0.7142857142857143,0.7219280948873623,7.0,0.0
146,do,xox,S10,0.7142857142857143,0.7219280948873623,7.0,0.0
147,do,xox,S11,0.7142857142857143,0.7219280948873623,7.0,0.0
148,do,xox,S14,0.7142857142857143,0.7219280948873623,7.0,0.0
149,do,xox,S15,0.5714285714285714,0.8112781244591328,7.0,0.0
150,do,xox,S22,0.5714285714285714,0.8112781244591328,7.0,0.0
151,do,xox,S27,0.6666666666666666,0.6500224216483541,9.0,0.0
152,do,xox,S29,0.6363636363636364,0.863120568566631,11.0,0.0
153,do,xox,S3,0.7142857142857143,0.7219280948873623,7.0,0.0
154,do,xox,S30,0.7142857142857143,0.7219280948873623,7.0,0.0
155,do,xox,S32,0.7142857142857143,0.7219280948873623,7.0,0.0
156,do,xox,S33,0.7142857142857143,0.7219280948873623,7.0,0.0
157,do,xox,S34,0.5714285714285714,0.8112781244591328,7.0,0.0
158,do,xox,S36,0.7142857142857143,0.7219280948873623,7.0,0.0
159,do,xox,S37,0.7142857142857143,0.7219280948873623,7.0,0.0
160,do,xox,S38,0.7777777777777778,0.5916727785823275,9.0,0.0
161,do,xox,S40,0.36363636363636365,-0.0,11.0,0.1
162,do,xox,S41,0.5714285714285714,0.8112781244591328,7.0,0.0
163,do,xox,S42,0.7142857142857143,0.7219280948873623,7.0,0.0
164,do,xox,S44,0.6666666666666666,0.6500224216483541,9.0,0.0
165,do,xox,S47,0.7142857142857143,0.7219280948873623,7.0,0.0
166,do,xox,S48,0.6363636363636364,0.863120568566631,11.0,0.0
167,do,xox,S5,0.7142857142857143,0.7219280948873623,7.0,0.0
168,do,xox,S52,0.7142857142857143,0.7219280948873623,7.0,0.0
169,do,xox,S54,0.6666666666666666,0.6500224216483541,9.0,0.0
170,do,xox,S56,0.7142857142857143,0.7219280948873623,7.0,0.0
171,do,xox,S57,0.7142857142857143,0.7219280948873623,7.0,0.0
172,do,xox,S8,0.5714285714285714,0.8112781244591328,7.0,0.0
173,do,xox,S9,0.4444444444444444,1.5,9.0,0.125
174,do,xxo,S1,0.4444444444444444,-0.0,9.0,0.0
175,do,xxo,S10,0.6666666666666666,-0.0,9.0,0.0
176,do,xxo,S11,0.6666666666666666,-0.0,9.0,0.0
177,do,xxo,S14,0.4444444444444444,-0.0,9.0,0.0
178,do,xxo,S15,0.4444444444444444,-0.0,9.0,0.0
179,do,xxo,S22,0.6666666666666666,-0.0,9.0,0.0
180,do,xxo,S27,0.6666666666666666,-0.0,9.0,0.0
181,do,xxo,S29,0.4444444444444444,-0.0,9.0,0.0
182,do,xxo,S3,0.4444444444444444,-0.0,9.0,0.0
183,do,xxo,S30,0.4444444444444444,-0.0,9.0,0.0
184,do,xxo,S32,0.4444444444444444,-0.0,9.0,0.0
185,do,xxo,S33,0.7272727272727273,0.5435644431995964,11.0,0.1
186,do,xxo,S34,0.4444444444444444,-0.0,9.0,0.0
187,do,xxo,S36,0.36363636363636365,-0.0,11.0,0.1
188,do,xxo,S37,0.4444444444444444,-0.0,9.0,0.0
189,do,xxo,S38,0.8,1.5,5.0,0.0
190,do,xxo,S40,0.4444444444444444,-0.0,9.0,0.0
191,do,xxo,S41,0.4444444444444444,-0.0,9.0,0.0
192,do,xxo,S42,0.45454545454545453,0.7219280948873623,11.0,0.1
193,do,xxo,S44,0.6666666666666666,-0.0,9.0,0.0
194,do,xxo,S47,0.4444444444444444,-0.0,9.0,0.0
195,do,xxo,S48,0.4444444444444444,-0.0,9.0,0.0
196,do,xxo,S5,0.6666666666666666,-0.0,9.0,0.0
197,do,xxo,S52,0.4444444444444444,-0.0,9.0,0.0
198,do,xxo,S54,0.4444444444444444,-0.0,9.0,0.0
199,do,xxo,S56,0.6666666666666666,-0.0,9.0,0.0
200,do,xxo,S57,0.4444444444444444,-0.0,9.0,0.0
201,do,xxo,S8,0.4444444444444444,-0.0,9.0,0.0
202,do,xxo,S9,0.5555555555555556,0.7219280948873623,9.0,0.0
203,do,xxx,S1,0.3076923076923077,1.5,13.0,0.8571428571428571
204,do,xxx,S10,0.8,1.5,5.0,0.0
