,cond,mdp_code,participant,final_btarg,final_b2targ,final_b2jtarg,b2j_com
44,do,oox,S38,2.5295918751822892e-05,7.67714059218277e-05,2.613700089798012e-05,0.016339469374606376
45,do,oox,S40,0.36455035652482104,2.3992420095105013e-06,0.24689963510403132,0.3227304366144558
46,do,oox,S41,0.36455035652482104,2.3992420095105013e-06,0.24689963510403132,0.3227304366144558
47,do,oox,S42,0.6399862944802107,3.352343513677666e-05,0.6265422897513935,0.021007807665029053
48,do,oox,S44,0.6399862944802107,3.352343513677666e-05,0.6265422897513935,0.021007807665029053
49,do,oox,S47,0.36455035652482104,2.3992420095105013e-06,0.24689963510403132,0.3227304366144558
50,do,oox,S48,0.6399862944802107,3.352343513677666e-05,0.6265422897513935,0.021007807665029053
51,do,oox,S5,0.6399862944802107,3.352343513677666e-05,0.6265422897513935,0.021007807665029053
52,do,oox,S52,0.00032753466930770907,8.671580544859667e-11,0.00021875792430495786,0.33210766369144984
53,do,oox,S54,0.0006912385748676704,2.818840217433908e-07,0.0006910032856500361,0.00034052672295012203
54,do,oox,S56,0.36455035652482104,2.3992420095105013e-06,0.24689963510403132,0.3227304366144558
55,do,oox,S57,0.36455035652482104,2.3992420095105013e-06,0.24689963510403132,0.3227304366144558
56,do,oox,S8,0.0006912385748676704,2.818840217433908e-07,0.0006910032856500361,0.00034052672295012203
57,do,oox,S9,0.0006912385748676704,2.818840217433908e-07,0.0006910032856500361,0.00034052672295012203
58,do,oxo,S1,0.4028180722418397,7.692597037271337e-06,0.402680904543289,0.00034052672295012203
59,do,oxo,S10,0.2554561835906324,1.9468234764049667e-09,0.17061722792936834,0.33210766369144984
60,do,oxo,S11,0.12229852869853063,3.128990005068353e-14,0.06958332290041319,0.4310371216981313
61,do,oxo,S14,0.9972887801097313,0.9999999930920097,0.9995480331900194,0.8332997426080351
62,do,oxo,S15,0.12213009355092257,3.7740851701483065e-14,0.07508402391152352,0.3852127536428814
63,do,oxo,S22,0.12229852869853063,3.128990005068353e-14,0.06958332290041319,0.4310371216981313
64,do,oxo,S27,0.9972887801097313,0.9999999930920097,0.9995480331900194,0.8332997426080351
65,do,oxo,S29,0.4028180722418397,7.692597037271337e-06,0.402680904543289,0.00034052672295012203
66,do,oxo,S3,0.12213009355092257,3.7740851701483065e-14,0.07508402391152352,0.3852127536428814
67,do,oxo,S30,0.9972887801097313,0.9999999930920097,0.9995480331900194,0.8332997426080351
68,do,oxo,S32,0.12213009355092257,3.7740851701483065e-14,0.07508402391152352,0.3852127536428814
69,do,oxo,S33,0.2554561835906324,1.9468234764049667e-09,0.17061722792936834,0.33210766369144984
70,do,oxo,S34,0.12229852869853063,3.128990005068353e-14,0.06958332290041319,0.4310371216981313
71,do,oxo,S36,0.9972887801097313,0.9999999930920097,0.9995480331900194,0.8332997426080351
72,do,oxo,S37,0.2554561835906324,1.9468234764049667e-09,0.17061722792936834,0.33210766369144984
73,do,oxo,S38,0.002634620118411957,7.677137744790514e-05,0.002592826227244099,0.016339469374606376
74,do,oxo,S40,0.12213009355092257,3.7740851701483065e-14,0.07508402391152352,0.3852127536428814
75,do,oxo,S41,0.12229852869853063,3.128990005068353e-14,0.06958332290041319,0.4310371216981313
76,do,oxo,S42,0.9972887801097313,0.9999999930920097,0.9995480331900194,0.8332997426080351
77,do,oxo,S44,0.12213009355092257,3.7740851701483065e-14,0.07508402391152352,0.3852127536428814
