,cond,participant,mdp_code,obs_model-color,belief,obs_model
119,do,S14,xoo,b_orange_cor,0.8778557607386412,b
120,do,S15,xoo,b_orange_cor,0.8778557607386412,b
121,do,S22,xoo,b_orange_cor,0.8776874182664054,b
122,do,S27,xoo,b_orange_cor,0.8776875629278329,b
123,do,S29,xoo,b_orange_cor,0.8776874182664054,b
124,do,S3,xoo,b_orange_cor,0.8778557607386412,b
125,do,S30,xoo,b_orange_cor,0.8776874842412339,b
126,do,S32,xoo,b_orange_cor,0.8778557607386412,b
127,do,S33,xoo,b_orange_cor,0.8776874182664054,b
128,do,S34,xoo,b_orange_cor,0.8778557607386412,b
129,do,S36,xoo,b_orange_cor,0.8778557607386412,b
130,do,S37,xoo,b_orange_cor,0.8778557607386412,b
131,do,S38,xoo,b_orange_cor,0.00016743031687682652,b
132,do,S40,xoo,b_orange_cor,0.8778557607386412,b
133,do,S41,xoo,b_orange_cor,0.8776874842412339,b
134,do,S42,xoo,b_orange_cor,0.8778557607386412,b
135,do,S44,xoo,b_orange_cor,0.8778557607386412,b
136,do,S47,xoo,b_orange_cor,0.8778557607386412,b
137,do,S48,xoo,b_orange_cor,0.8776874842412339,b
138,do,S5,xoo,b_orange_cor,0.8776874842412339,b
139,do,S52,xoo,b_orange_cor,0.8778557607386412,b
140,do,S54,xoo,b_orange_cor,0.8778557607386412,b
141,do,S56,xoo,b_orange_cor,0.8776874182664054,b
142,do,S57,xoo,b_orange_cor,0.8778557607386412,b
143,do,S8,xoo,b_orange_cor,0.8778557607386412,b
144,do,S9,xoo,b_orange_cor,0.8778557607386412,b
145,do,S1,xox,b_orange_cor,0.3558215277491713,b
146,do,S10,xox,b_orange_cor,0.3558215277491713,b
147,do,S11,xox,b_orange_cor,0.3558215277491713,b
148,do,S14,xox,b_orange_cor,0.3558215277491713,b
149,do,S15,xox,b_orange_cor,0.6350354520210023,b
150,do,S22,xox,b_orange_cor,0.6350354520210023,b
151,do,S27,xox,b_orange_cor,0.1274725513543774,b
